,review,negative-score,positive-score,compound-pos,compound-neg
0,phone sturdy waterproof,0.08,0.92,0.2311120129292155,0.02065150599499689
1,received headset good time happy,0.01,0.99,0.24765405778443095,0.002581980290884986
2,good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear,0.81,0.19,0.048998862520218615,0.2047119643069919
3,avoid one,0.77,0.23,0.059281303943399984,0.1949967074644855
4,good item low price,0.15,0.85,0.21436709567779696,0.038700818724480265
5,good case,0.08,0.92,0.2311120129292155,0.02065150599499689
6,warranty problems reoccure bottom line put money somewhere else cingular support,0.93,0.07,0.018070970931389797,0.2334878462028636
7,dont buy,0.99,0.01,0.002581980290884986,0.24765405778443095
8,pair headphones worst ever soundwise,0.96,0.04,0.010327404809650345,0.24059016976167408
9,love phone,0.02,0.98,0.24530375145507433,0.0051639089432829865
10,im quite satisfied purchase,0.51,0.49,0.12551689049660086,0.13055439192154708
11,even take self portraits outside exterior display cool,0.53,0.47,0.12046966192824268,0.13558180231483624
12,holster arrived match photo ad,0.66,0.34,0.08745129029846102,0.16798951556005373
13,would recommend item anyone,0.07,0.93,0.2334878462028636,0.018070970931389797
14,tied charger conversations lasting 45 minutes major problems,0.68,0.32,0.08234305846557943,0.1729300474888714
15,terrible car accept cassette,0.94,0.06,0.015490074687382338,0.23585950502781214
16,good stuff price,0.04,0.96,0.24059016976167408,0.010327404809650345
17,logitech bluetooth headset 10,0.35,0.65,0.1655144698046142,0.09000284707386697
18,comfortable hand,0.07,0.93,0.2334878462028636,0.018070970931389797
19,replacement died weeks,0.67,0.33,0.08489801116108947,0.17046138850323544
20,cool phone,0.4,0.6,0.15309310892394865,0.10273309938750283
21,highly recommend encourage people give try,0.08,0.92,0.2311120129292155,0.02065150599499689
22,iam pleased purchase,0.38,0.62,0.15807071142022902,0.09764669773479731
23,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0.49,0.51,0.13055439192154708,0.12551689049660086
24,also happy price,0.01,0.99,0.24765405778443095,0.002581980290884986
25,purcashed car charger work,0.86,0.14,0.036124251091907554,0.21677121191847112
26,many people complained found headsets microphone weak,0.66,0.34,0.08745129029846102,0.16798951556005373
27,exchanged phone even problem,0.71,0.29,0.074668649491408,0.18031633362783997
28,also area unit broke im fond magnetic strap,0.96,0.04,0.010327404809650345,0.24059016976167408
